"","ticker","name","sector","industry","PE_ratio","market_cap","short_name"
"231","IPG","Interpublic Group of Companies,","Communication Services","Advertising Agencies",13.656904,12501254835,"Inte. of Com."
"232","IQV","IQVIA Holdings, Inc.","Healthcare","Diagnostics & Research",38.822148,42226850000,"IQVIA Hold."
"233","IR","Ingersoll Rand Inc.","Industrials","Specialty Industrial Machinery",42.032609,31306998123,"Inger. Rand"
"234","IRM","Iron Mountain Incorporated (Del","Real Estate","REIT—Specialty",74.446809,20433429968,"Iron Mo. orp."
"235","ISRG","Intuitive Surgical, Inc.","Healthcare","Medical Instruments & Supplies",79.378824,118774872277,"Intui. Sur."
"236","IT","Gartner, Inc.","Technology","Information Technology Services",38.788478,35163398359,"Gartner"
"237","ITW","Illinois Tool Works Inc.","Industrials","Specialty Industrial Machinery",25.431068,78814047407,"Illi. To. Wo."
"238","IVZ","Invesco Ltd","Financial Services","Asset Management",13.723077,8020050478,"Invesco"
"239","J","Jacobs Solutions Inc.","Industrials","Engineering & Construction",24.444444,16302757728,"Jacobs Sol."
"240","JBHT","J.B. Hunt Transport Services, I","Industrials","Integrated Freight & Logistics",26.882907,20601743870,"J B Hunt"
"241","JBL","Jabil Inc.","Technology","Electronic Components",19.156146,14835621742,"Jabil"
"242","JCI","Johnson Controls International ","Industrials","Building Products & Equipment",21.427509,39218256000,"John. Co. In."
"243","JKHY","Jack Henry & Associates, Inc.","Technology","Information Technology Services",33.012121,11900856488,"Jack He. Ass."
"244","JNJ","Johnson & Johnson","Healthcare","Drug Manufacturers—General",29.407129,377316850898,"Johns. Joh."
"245","JNPR","Juniper Networks, Inc.","Technology","Communication Equipment",26.321429,9400242760,"Junip. Net."
"246","JPM","JP Morgan Chase & Co.","Financial Services","Banks—Diversified",10.149165,491760518804,"JP Mo. Chase"
"247","K","Kellanova","Consumer Defensive","Packaged Foods",23.491597,19150278831,"Kellanova"
"248","KDP","Keurig Dr Pepper Inc.","Consumer Defensive","Beverages—Non-Alcoholic",24.321168,46592558951,"Keur. Dr Pep."
"249","KEY","KeyCorp","Financial Services","Banks—Regional",11.707317,13482147758,"KeyCorp"
"250","KEYS","Keysight Technologies Inc.","Technology","Scientific & Technical Instruments",25.932318,26769770633,"Keysi. Tec."
"251","KHC","The Kraft Heinz Company","Consumer Defensive","Packaged Foods",15.280992,45357400904,"The Kr. Heinz"
"252","KIM","Kimco Realty Corporation (HC)","Real Estate","REIT—Retail",30.014085,13209518605,"Kimco Real."
"253","KLAC","KLA Corporation","Technology","Semiconductor Equipment & Materials",25.997317,79017455290,"KLA"
"254","KMB","Kimberly-Clark Corporation","Consumer Defensive","Household & Personal Products",23.367308,41063213461,"Kimbe. Cla."
"255","KMI","Kinder Morgan, Inc.","Energy","Oil & Gas Midstream",16.183486,39209732178,"Kinder Mor."
"256","KMX","CarMax Inc","Consumer Cyclical","Auto & Truck Dealerships",22.356643,10103888763,"CarMax"
"257","KO","Coca-Cola Company (The)","Consumer Defensive","Beverages—Non-Alcoholic",23.8583,254778775823,"Coca Cola"
"258","KR","Kroger Company (The)","Consumer Defensive","Grocery Stores",20.254464,32635356847,"Kroger"
"259","L","Loews Corporation","Financial Services","Insurance—Property & Casualty",10.592085,15536012176,"Loews"
"260","LDOS","Leidos Holdings, Inc.","Technology","Information Technology Services",102.113208,14695357192,"Leidos Hol."
"261","LEN","Lennar Corporation","Consumer Cyclical","Residential Construction",9.489614,35494970035,"Lennar"
"262","LH","Laboratory Corporation of Ameri","Healthcare","Diagnostics & Research",23.407827,19296921000,"Labo. of Ame."
"263","LHX","L3Harris Technologies, Inc.","Industrials","Aerospace & Defense",27.106821,39977483330,"L3Har. Tec."
"264","LIN","Linde plc","Basic Materials","Specialty Chemicals",33.97105,199149371505,"Linde"
"265","LKQ","LKQ Corporation","Consumer Cyclical","Auto Parts",13.386555,12788523665,"LKQ"
"266","LLY","Eli Lilly and Company","Healthcare","Drug Manufacturers—General",108.883315,553370174592,"Eli Li. and"
"267","LMT","Lockheed Martin Corporation","Industrials","Aerospace & Defense",16.590044,112448261586,"Lockh. Mar."
"268","LNT","Alliant Energy Corporation","Utilities","Utilities—Regulated Electric",18.791209,13090687163,"Allia. Ene."
"269","LOW","Lowe's Companies, Inc.","Consumer Cyclical","Home Improvement Retail",18.448209,109980847284,"s Companies"
"270","LRCX","Lam Research Corporation","Technology","Semiconductor Equipment & Materials",26.569199,102824806280,"Lam Resear."
"271","LULU","lululemon athletica inc.","Consumer Cyclical","Apparel Retail",49.807595,49672112894,"lulul. ath."
"272","LUV","Southwest Airlines Company","Industrials","Airlines",35.654321,17215812174,"South. Air."
"273","LVS","Las Vegas Sands Corp.","Consumer Cyclical","Resorts & Casinos",56.563218,37073307042,"Las Ve. Sands"
"274","LW","Lamb Weston Holdings, Inc.","Consumer Defensive","Packaged Foods",14.392806,14441163049,"Lamb We. Hol."
"275","LYB","LyondellBasell Industries NV","Basic Materials","Specialty Chemicals",13.602289,30840317376,"Lyon. In. NV"
"276","LYV","Live Nation Entertainment, Inc.","Communication Services","Entertainment",62.4,21558453696,"Live Na. Ent."
"277","MAA","Mid-America Apartment Communiti","Real Estate","REIT—Residential",26.892,15689801384,"Mid Am. Apar."
"278","MAR","Marriott International","Consumer Cyclical","Lodging",23.914104,66230335887,"Marri. Int."
"279","MAS","Masco Corporation","Industrials","Building Products & Equipment",18.250681,15037071018,"Masco"
"280","MCD","McDonald's Corporation","Consumer Cyclical","Restaurants",26.147266,215071165315,"s"
"281","MCHP","Microchip Technology Incorporat","Technology","Semiconductors",19.776316,48791464973,"Micr. Te. or."
"282","MCK","McKesson Corporation","Healthcare","Medical Distribution",18.306841,61605269305,"McKesson"
"283","MCO","Moody's Corporation","Financial Services","Financial Data & Stock Exchanges",40.743557,58003779906,"s"
"284","MDLZ","Mondelez International, Inc.","Consumer Defensive","Confectioners",21.685629,98569667221,"Monde. Int."
"285","MDT","Medtronic plc.","Healthcare","Medical Devices",28.422078,116397825720,"Medtronic"
"286","MET","MetLife, Inc.","Financial Services","Insurance—Life",146.302326,48948779843,"MetLife"
"287","META","Meta Platforms, Inc.","Communication Services","Internet Content & Information",31.240953,909628612617,"Meta Platf."
"288","MGM","MGM Resorts International","Consumer Cyclical","Resorts & Casinos",14.993289,15261945463,"MGM Re. Inte."
"289","MHK","Mohawk Industries, Inc.","Consumer Cyclical","Furnishings, Fixtures & Appliances",256.974359,6591103146,"Mohawk Ind."
"290","MKC","McCormick & Company, Incorporat","Consumer Defensive","Packaged Foods",27.0125,17375211000,"McCor. orp."
"291","MKTX","MarketAxess Holdings, Inc.","Financial Services","Capital Markets",44.438543,11100610446,"Marke. Hol."
"292","MLM","Martin Marietta Materials, Inc.","Basic Materials","Building Materials",28.187006,30836210694,"Mart. Ma. Ma."
"293","MMC","Marsh & McLennan Companies, Inc","Financial Services","Insurance Brokers",27.301153,93422435017,"Marsh Mc. Co."
